trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount
20050104,000300.SH,982.794,994.769,994.769,980.658,1000.0,-17.206,-1.7206,7412868.94,4431977.4180000005
20050105,000300.SH,992.564,981.577,997.323,979.877,982.794,9.77,0.9941,7119108.98,4529208.214
20050106,000300.SH,,993.331,993.788,980.33,992.564,-9.39,-0.946,6288029.05,3921015.42
20050107,000300.SH,983.958,983.045,995.711,979.812,983.174,0.784,0.0797,,
20050110,000300.SH,993.879,983.76,993.959,979.789,983.958,9.921,1.0083,5791697.99,3762932.89
